symbol,open,high,low,close,volume,open_interest,turnover,settle,pre_settle
OI211,14036.0,14383.0,14023.0,14284.0,13848,47897,196415.56,14184.0,13979.0
OI301,13745.0,14074.0,13740.0,13950.0,15024,34728,208755.1,13895.0,13705.0
OI303,13554.0,13869.0,13554.0,13742.0,2165,5694,29632.99,13687.0,13520.0
OI305,13456.0,13696.0,13405.0,13572.0,239,956,3243.91,13573.0,13325.0
PF206,8894.0,9362.0,8894.0,9000.0,48,405,213.74,8906.0,8750.0
PF207,8762.0,9048.0,8760.0,8972.0,42072,17004,187553.19,8916.0,8712.0
PF208,8776.0,9052.0,8772.0,8982.0,70493,117669,315350.31,8948.0,8720.0
PF209,8802.0,9062.0,8776.0,8990.0,295294,171579,1322544.16,8958.0,8734.0
PF210,8792.0,9050.0,8776.0,8986.0,24716,49769,110535.3,8944.0,8732.0
PF211,8872.0,8988.0,8752.0,8942.0,5649,10716,25174.19,8914.0,8710.0
PF212,8752.0,8898.0,8746.0,8864.0,48,1346,212.47,8854.0,8708.0
PF301,8666.0,8822.0,8650.0,8794.0,2088,13770,9142.95,8758.0,8644.0
PF302,8766.0,8774.0,8728.0,8774.0,3,1105,13.13,8756.0,8650.0
PF303,8596.0,8700.0,8596.0,8700.0,6,573,25.94,8648.0,8596.0
PF304,0.0,0.0,0.0,0.0,0,1300,0.0,8632.0,8540.0
PF305,8540.0,8636.0,8540.0,8600.0,30,45,128.94,8596.0,8516.0
PK210,10234.0,10324.0,10100.0,10270.0,180348,104624,922429.82,10230.0,10300.0
PK211,10184.0,10318.0,10152.0,10266.0,58,1098,297.09,10244.0,10304.0
PK212,10296.0,10330.0,10176.0,10282.0,39,879,200.46,10280.0,10308.0
PK301,10274.0,10366.0,10174.0,10318.0,6147,22732,31600.5,10282.0,10336.0
PK303,10354.0,10380.0,10266.0,10354.0,100,988,515.79,10316.0,10302.0
PK304,10368.0,10450.0,10276.0,10408.0,336,1180,1736.64,10338.0,10390.0
PM207,0.0,0.0,0.0,0.0,0,10,0.0,3059.0,3059.0
PM209,0.0,0.0,0.0,0.0,0,2,0.0,3100.0,3100.0
PM211,0.0,0.0,0.0,0.0,0,0,0.0,3038.0,3038.0
PM301,0.0,0.0,0.0,0.0,0,0,0.0,3145.0,3145.0
PM303,0.0,0.0,0.0,0.0,0,0,0.0,3226.0,3226.0
PM305,0.0,0.0,0.0,0.0,0,0,0.0,3226.0,3226.0
RI207,0.0,0.0,0.0,0.0,0,3,0.0,2975.0,2975.0
RI209,0.0,0.0,0.0,0.0,0,0,0.0,2852.0,2852.0
RI211,0.0,0.0,0.0,0.0,0,0,0.0,2689.0,2689.0
RI301,0.0,0.0,0.0,0.0,0,0,0.0,2689.0,2689.0
RI303,0.0,0.0,0.0,0.0,0,0,0.0,2689.0,2689.0
RI305,0.0,0.0,0.0,0.0,0,0,0.0,2689.0,2689.0
RM207,3654.0,3763.0,3648.0,3753.0,1054,6485,3912.08,3712.0,3696.0
RM208,3720.0,3836.0,3701.0,3822.0,1033,5404,3918.24,3793.0,3752.0
RM209,3652.0,3783.0,3636.0,3767.0,178445,197105,663965.78,3721.0,3701.0
RM211,3334.0,3423.0,3321.0,3410.0,844,10270,2860.26,3389.0,3352.0
RM301,3057.0,3130.0,3033.0,3120.0,131094,129414,404972.77,3089.0,3072.0
RM303,3044.0,3114.0,3023.0,3104.0,10231,26573,31509.67,3080.0,3059.0
RM305,3077.0,3144.0,3061.0,3136.0,4038,4970,12552.83,3109.0,3091.0
RS207,0.0,0.0,0.0,0.0,0,0,0.0,6499.0,6452.0
RS208,0.0,0.0,0.0,0.0,0,3,0.0,6502.0,6500.0
RS209,6775.0,6860.0,6775.0,6838.0,28,64,190.91,6818.0,6829.0
RS211,0.0,0.0,0.0,0.0,0,1,0.0,6617.0,6617.0
SA206,3030.0,3070.0,3030.0,3058.0,24,6142,146.75,3057.0,3042.0
SA207,3030.0,3088.0,3018.0,3071.0,752,7802,4597.53,3057.0,3045.0
SA208,3068.0,3131.0,3049.0,3107.0,8876,29960,54867.45,3091.0,3088.0
SA209,3053.0,3122.0,3036.0,3098.0,753734,628208,4641549.38,3079.0,3070.0
SA210,3071.0,3127.0,3056.0,3105.0,28226,81965,174525.3,3092.0,3081.0
SA211,3022.0,3075.0,3004.0,3055.0,4508,16138,27419.15,3041.0,3033.0
SA212,3025.0,3062.0,3010.0,3048.0,1514,9632,9183.95,3033.0,3001.0
SA301,2951.0,3025.0,2951.0,3007.0,161759,123359,966993.99,2989.0,2946.0
SA302,2904.0,2987.0,2904.0,2970.0,2421,6795,14105.08,2913.0,2920.0
